x,"y
"
2018-10-11,4198
2018-10-13,4226
2018-10-14,4246
2018-10-15,4248
2018-10-16,4262
2018-10-17,4243
2018-10-18,4213
2018-10-19,4218
2018-10-20,4231
2018-10-21,4232
2018-10-22,4220
2018-10-23,4238
2018-10-24,4253
2018-10-25,4242
2018-10-26,4227
2018-10-27,4253
2018-10-28,4242
2018-10-29,4234
2018-10-30,4214
2018-10-31,4191
2018-11-01,4182
2018-11-02,4192
2018-11-03,4197
2018-11-04,4192
2018-11-05,4170
2018-11-06,4176
2018-11-07,4217
2018-11-08,4212
2018-11-09,4181
2018-11-10,4170
2018-11-11,4165
2018-11-12,4135
2018-11-13,4107
2018-11-14,4104
2018-11-15,4100
2018-11-16,4125
2018-11-17,4129
2018-11-18,4107
2018-11-19,4122
2018-11-20,4112
2018-11-21,4077
2018-11-22,4058
2018-11-23,4021
2018-11-24,3962
2018-11-25,3961
2018-11-26,3955
2018-11-27,3947
2018-11-28,3956
2018-11-29,3965
2018-11-30,3995
2018-12-01,4007
2018-12-02,4010
2018-12-03,4021
2018-12-04,4014
2018-12-05,4000
2018-12-06,4069
2018-12-07,4046
2018-12-08,4080
2018-12-09,4088
2018-12-10,4138
2018-12-11,4172
2018-12-12,4235
2018-12-13,4236
2018-12-14,4257
2018-12-15,4282
2018-12-16,4295
2018-12-17,4305
2018-12-18,4314
2018-12-19,4290
2018-12-20,4271
2018-12-21,4273
2018-12-22,4306
2018-12-23,4281
2018-12-24,4246
2018-12-25,4198
2018-12-26,4164
2018-12-27,4105
2018-12-28,4023
2018-12-29,3986
2018-12-30,3971
2018-12-31,3968
2019-01-01,3994
2019-01-02,4011
2019-01-03,4037
2019-01-04,4087
2019-01-05,4081
2019-01-06,4122
2019-01-07,4120
2019-01-08,4153
2019-01-09,4155
2019-01-10,4140
2019-01-11,4112
2019-01-12,4131
2019-01-13,4077
2019-01-14,4087
2019-01-15,4079
2019-01-16,4080
2019-01-17,4109
2019-01-18,4136
2019-01-19,4156
2019-01-20,4196
2019-01-21,4200
2019-01-22,4215
2019-01-23,4239
2019-01-24,4238
2019-01-25,4210
2019-01-26,4207
2019-01-27,4202
2019-01-28,4191
2019-01-29,4205
2019-01-30,4205
2019-01-31,4214
