x,"y
"
2014-8,-2
2014-9,716
2014-10,1667
2014-11,2796
2014-12,3993
2015-1,44305
2015-2,6207
2015-3,7424
2015-4,8944
2015-5,10132
2015-6,11216
2015-7,12117
2015-8,281101
2015-9,15077
2015-10,16510
2015-11,17697
2015-12,19046
2016-1,20410
2016-2,22051
2016-3,23868
2016-4,25507
2016-5,196440
2016-6,28544
2016-7,30029
2016-8,31795
2016-9,33665
2016-10,35968
2016-11,38219
2016-12,40047
2017-1,41744
2017-2,43638
2017-3,45593
2017-4,47350
2017-5,49493
2017-6,153223
2017-7,56721
2017-8,59718
2017-9,62908
2017-10,65802
2017-11,68825
2017-12,71731
2018-1,74551
2018-2,78290
2018-3,82564
2018-4,87357
2018-5,92512
2018-6,96714
2018-7,99268
2018-8,101869
2018-9,104683
2018-10,107323
2018-11,109639
2018-12,112325
2019-1,114459
2019-2,117552
2019-3,121242
2019-4,124679
2019-5,127741
2019-6,130086
2019-7,132140
2019-8,134789
2019-9,137684
2019-10,140420
2019-11,142566
2019-12,144402
2020-1,146204
2020-2,148044
2020-3,150716
2020-4,155074
2020-5,169055
2020-6,174712
2020-7,363891
2020-8,185836
2020-9,189237
2020-10,193126
2020-11,198953
2020-12,205572
2021-1,208997
2021-2,214514
2021-3,228145
2021-4,241092
2021-5,253943
2021-6,267697
2021-7,278198
2021-8,283997
2021-9,292832
2021-10,299542
2021-11,307720
2021-12,314612
2022-1,321504
2022-2,329610
2022-3,342194
2022-4,352686
2022-5,361472
2022-6,368456
2022-7,375917
2022-8,383663
2022-9,391834
2022-10,400318
2022-11,407336
2022-12,415013
2023-1,417291
